ID,Name,Description,ColumnSpec,Nexus_File
303,1f36,,,data
304,1f37,,,data
305,1df5,,,data
306,1df4,,,data
307,1df7,,,data
308,1df6,,,data
309,1df1,,,data
310,1df0,,,data
311,1df3,,,data
312,1df2,,,data
313,1e68,,,data
314,1e69,,,data
315,1e60,,,data
316,1e61,,,data
317,1e62,,,data
318,1e63,,,data
319,1e64,,,data
320,1e65,,,data
321,1e66,,,data
322,1e67,,,data
323,1e95,,,data
324,1e94,,,data
325,1e97,,,data
326,1e96,,,data
327,1e91,,,data
328,1e90,,,data
329,1e93,,,data
330,1e92,,,data
331,1e99,,,data
332,1e98,,,data
333,1f46,,,data
334,1e6a,,,data
335,1e6b,,,data
336,1e6c,,,data
337,1e6d,,,data
338,1e6e,,,data
339,1e6f,,,data
340,1e9e,,,data
341,1e9d,,,data
342,1e9f,,,data
343,1e9a,,,data
344,1e9c,,,data
345,1e9b,,,data
346,1f68,,,data
347,1f67,,,data
348,1f66,,,data
349,1f65,,,data
350,1f64,,,data
351,1f63,,,data
352,1f62,,,data
353,1f61,,,data
354,1f60,,,data
355,1e3f,,,data
356,1e3e,,,data
357,1e3d,,,data
358,1e3c,,,data
359,1e3b,,,data
360,1e3a,,,data
361,1edf,,,data
362,1de5,,,data
363,1edd,,,data
364,1de7,,,data
365,1edb,,,data
366,1edc,,,data
367,1de2,,,data
368,1de3,,,data
369,1de8,,,data
370,1de9,,,data
371,1e37,,,data
372,1e36,,,data
373,1e35,,,data
374,1e34,,,data
375,1e33,,,data
376,1e32,,,data
377,1e31,,,data
378,1e30,,,data
379,1e39,,,data
380,1e38,,,data
381,1ed6,,,data
382,1dee,,,data
383,1def,,,data
384,1ed5,,,data
385,1ed2,,,data
386,1dea,,,data
387,1ed0,,,data
388,1dec,,,data
389,1ed8,,,data
390,1ed9,,,data
391,1eee,,,data
